mp_rgb_img,left_hand_skel_data,right_hand_skel_data,nuitrack_rgb_image,nuitrack_skel_data
,1703220143.9325159,1703220144.0854177,,1703220144.2414908
,1703220143.973435,1703220144.129878,,1703220144.2954404
,1703220144.0174234,1703220144.173444,,1703220144.300044
,1703220144.0614462,1703220144.173454,,1703220144.3607335
,1703220144.105452,1703220144.217418,,1703220144.405452
,1703220144.1054628,1703220144.2317238,,1703220144.4054644
,1703220144.1494133,1703220144.2774382,,1703220144.4494915
,1703220144.163712,1703220144.321432,,1703220144.4958029
,1703220144.2094202,1703220144.3654106,,1703220144.5414348
,1703220144.2534187,1703220144.4134588,,1703220144.5854247
,1703220144.297428,1703220144.4134653,,1703220144.6334476
,1703220144.297438,1703220144.461479,,1703220144.633459
,1703220144.34146,1703220144.471297,,1703220144.681464
,1703220144.3649032,1703220144.5134315,,1703220144.696896
,1703220144.4054549,1703220144.557487,,1703220144.7414386
,1703220144.4494767,1703220144.6014204,,1703220144.7414482
,1703220144.4934478,1703220144.6454537,,1703220144.7971146
,1703220144.5374365,1703220144.6454618,,1703220144.8643265
,1703220144.537444,1703220144.6934679,,1703220144.9094448
,1703220144.585417,1703220144.701615,,1703220144.9094527
,1703220144.60301,1703220144.7454317,,1703220144.9534273
,1703220144.6454613,1703220144.7894683,,1703220144.9681745
,1703220144.6894772,1703220144.8374588,,1703220145.0094535
,1703220144.737517,1703220144.8374808,,1703220145.053416
,1703220144.7375338,1703220144.8814645,,1703220145.0974617
,1703220144.7854195,1703220144.9018404,,1703220145.1414258
,1703220144.8014746,1703220144.945465,,1703220145.1414328
,1703220144.8454762,1703220144.989431,,1703220145.1854076
,1703220144.8894198,1703220145.0334616,,1703220145.1995826
,1703220144.933453,1703220145.0774193,,1703220145.2414546
,1703220144.9814475,1703220145.0774252,,1703220145.2894228
,1703220144.981459,1703220145.1214383,,1703220145.3374214
,1703220145.025459,1703220145.1305046,,1703220145.33743
,1703220145.0357876,1703220145.177465,,1703220145.3814368
,1703220145.0774283,1703220145.2214339,,1703220145.402278
,1703220145.121428,1703220145.2654724,,1703220145.4494066
,1703220145.1654415,1703220145.3134205,,1703220145.4934998
,1703220145.2094398,1703220145.313429,,1703220145.5414422
,1703220145.2094495,1703220145.361449,,1703220145.5414562
,1703220145.2534304,1703220145.3692236,,1703220145.5854437
,1703220145.2694726,1703220145.4094398,,1703220145.6014588
,1703220145.3094194,1703220145.4534183,,1703220145.6454418
,1703220145.3534143,1703220145.4974434,,1703220145.6894295
,1703220145.401451,1703220145.5414424,,1703220145.733453
,1703220145.4454477,1703220145.541454,,1703220145.7814388
,1703220145.4454606,1703220145.5854511,,1703220145.7814415
,1703220145.4934947,1703220145.6025624,,1703220145.862555
,1703220145.5024104,1703220145.6494088,,1703220145.8976038
,1703220145.54542,1703220145.6934953,,1703220145.9414504
,1703220145.5894163,1703220145.7374542,,1703220145.9414606
,1703220145.6334627,1703220145.7374713,,1703220145.998703
,1703220145.6774766,1703220145.7814407,,1703220146.0318532
,1703220145.6774864,1703220145.7997732,,1703220146.0734155
,1703220145.7254558,1703220145.841439,,1703220146.1174178
,1703220145.733781,1703220145.885423,,1703220146.1614473
,1703220145.78143,1703220145.9294457,,1703220146.2054513
,1703220145.8254364,1703220145.9734435,,1703220146.2054958
,1703220145.8694475,1703220145.9734535,,1703220146.2055001
,1703220145.8694594,1703220146.021416,,1703220146.262284
,1703220145.9134624,1703220146.0358531,,1703220146.2661114
,1703220145.9354427,1703220146.0774114,,1703220146.3299978
,1703220145.9774504,1703220146.1214204,,1703220146.3774517
,1703220146.0214097,1703220146.1654303,,1703220146.4214215
,1703220146.0669217,1703220146.209419,,1703220146.4694488
,1703220146.0669308,1703220146.2094274,,1703220146.469463
,1703220146.1094792,1703220146.2574365,,1703220146.5134683
,1703220146.1313672,1703220146.2680194,,1703220146.5326061
,1703220146.173455,1703220146.3094552,,1703220146.573451
,1703220146.2174187,1703220146.3534198,,1703220146.6174145
,1703220146.2654145,1703220146.3974419,,1703220146.6174252
,1703220146.3094554,1703220146.4414508,,1703220146.6653285
,1703220146.309464,1703220146.4414616,,1703220146.6975107
,1703220146.3534138,1703220146.4854288,,1703220146.7414796
,1703220146.3656118,1703220146.5018508,,1703220146.7414837
,1703220146.40945,1703220146.5454464,,1703220146.7854207
,1703220146.4534137,1703220146.5894198,,1703220146.8302143
,1703220146.4974487,1703220146.6334465,,1703220146.8774204
,1703220146.5454464,1703220146.6774552,,1703220146.9214218
,1703220146.5454597,1703220146.6774688,,1703220146.9654782
,1703220146.589427,1703220146.7254844,,1703220146.965491
,1703220146.6014225,1703220146.7363188,,1703220147.013455
,1703220146.6454468,1703220146.7814622,,1703220147.0316343
,1703220146.6935053,1703220146.8254507,,1703220147.073466
,1703220146.7414432,1703220146.873465,,1703220147.0734742
,1703220146.741454,1703220146.8734822,,1703220147.1174414
,1703220146.785418,1703220146.9214144,,1703220147.1665487
,1703220146.8020096,1703220146.9373372,,1703220147.2094326
,1703220146.8454578,1703220146.9774566,,1703220147.20944
,1703220146.889433,1703220147.0214226,,1703220147.2574253
,1703220146.9334428,1703220147.0654483,,1703220147.2999146
,1703220146.9774504,1703220147.1094177,,1703220147.3414416
,1703220146.9774625,1703220147.1094272,,1703220147.385466
,1703220147.0254529,1703220147.1534111,,1703220147.4334335
,1703220147.029573,1703220147.1625807,,1703220147.433447
,1703220147.0734773,1703220147.2054768,,1703220147.4814465
,1703220147.1174307,1703220147.2534294,,1703220147.5000978
,1703220147.1614861,1703220147.29746,,1703220147.5414248
,1703220147.2054596,1703220147.3454344,,1703220147.5854158
,1703220147.205472,1703220147.3454459,,1703220147.6294556
,1703220147.2494788,1703220147.389426,,1703220147.6734695
,1703220147.2695587,1703220147.4035,,1703220147.6734803
,1703220147.3134747,1703220147.4454694,,1703220147.7174385
,1703220147.357451,1703220147.4894147,,1703220147.7174482
,1703220147.4054523,1703220147.5334141,,1703220147.7650127
,1703220147.4054646,1703220147.5774555,,1703220147.7689207
,1703220147.4494448,1703220147.5774696,,1703220147.8334982
,1703220147.469571,1703220147.6214466,,1703220147.8774562
,1703220147.5174613,1703220147.6359358,,1703220147.9214077
,1703220147.5614715,1703220147.6774352,,1703220147.9654534
,1703220147.605473,1703220147.7214196,,1703220147.9654639
,1703220147.605485,1703220147.7654285,,1703220148.0094361
,1703220147.649461,1703220147.8094437,,1703220148.0332701
,1703220147.6694436,1703220147.809458,,1703220148.073442
,1703220147.7134285,1703220147.8574204,,1703220148.1214218
,1703220147.7574182,1703220147.8694937,,1703220148.165455
,1703220147.8014722,1703220147.913461,,1703220148.209444
,1703220147.8454406,1703220147.9574292,,1703220148.2094512
,1703220147.8454592,1703220148.0014417,,1703220148.253414
,1703220147.8894327,1703220148.0454311,,1703220148.253425
,1703220147.9032745,1703220148.0454454,,1703220148.299323
,1703220147.949443,1703220148.089414,,1703220148.3034031
,1703220147.9934502,1703220148.1018562,,1703220148.3675454
,1703220148.0374768,1703220148.1454735,,1703220148.4134614
,1703220148.0374923,1703220148.1894636,,1703220148.457421
,1703220148.0814526,1703220148.2364063,,1703220148.4574308
,1703220148.1016135,1703220148.2814558,,1703220148.501449
,1703220148.1454241,1703220148.3254933,,1703220148.5026834
,1703220148.1894581,1703220148.3694487,,1703220148.5655766
,1703220148.2364182,1703220148.413472,,1703220148.6094477
,1703220148.2814493,1703220148.4134746,,1703220148.6534107
,1703220148.325501,1703220148.4614296,,1703220148.6534173
,1703220148.3694208,1703220148.4690747,,1703220148.6997304
,1703220148.4134805,1703220148.5134616,,1703220148.7346294
,1703220148.4134963,1703220148.5574305,,1703220148.777465
,1703220148.461422,1703220148.6014502,,1703220148.8254285
,1703220148.469143,1703220148.6014602,,1703220148.8694518
,1703220148.5134609,1703220148.6494286,,1703220148.869466
,1703220148.557462,1703220148.667436,,1703220148.913456
,1703220148.6014628,1703220148.7094688,,1703220148.9134629
,1703220148.6014674,1703220148.757424,,1703220148.9674733
,1703220148.6494212,1703220148.8017464,,1703220148.9736485
,1703220148.6670067,1703220148.8454459,,1703220149.0332787
,1703220148.7094715,1703220148.8454552,,1703220149.0736923
,1703220148.7574615,1703220148.8894484,,1703220149.073705
,1703220148.801736,1703220148.9053254,,1703220149.1331766
,1703220148.8454592,1703220148.949483,,1703220149.1671278
,1703220148.8454618,1703220148.9934342,,1703220149.2094417
,1703220148.8894417,1703220149.0374517,,1703220149.257432
,1703220148.90535,1703220149.0374594,,1703220149.3014505
,1703220148.9494534,1703220149.0814502,,1703220149.3014653
,1703220148.9934413,1703220149.101697,,1703220149.345446
,1703220149.037437,1703220149.145427,,1703220149.3454616
,1703220149.0374486,1703220149.189416,,1703220149.3894222
,1703220149.0814614,1703220149.2334428,,1703220149.4058638
,1703220149.1016905,1703220149.2774665,,1703220149.4675667
,1703220149.1454349,1703220149.2774758,,1703220149.5134578
,1703220149.1894052,1703220149.3214233,,1703220149.5574129
,1703220149.2334309,1703220149.3383067,,1703220149.6054842
,1703220149.2774553,1703220149.3814373,,1703220149.64948
,1703220149.2774692,1703220149.425437,,1703220149.6495104
,1703220149.3214147,1703220149.4694116,,1703220149.6974576
,1703220149.3382902,1703220149.5174372,,1703220149.703633
,1703220149.3814282,1703220149.5614316,,1703220149.745454
,1703220149.425422,1703220149.6094377,,1703220149.7894073
,1703220149.4694183,1703220149.6094468,,1703220149.8334494
,1703220149.5174274,1703220149.6574247,,1703220149.8774374
,1703220149.56142,1703220149.6714787,,1703220149.8774765
,1703220149.6054835,1703220149.7134666,,1703220149.9254203
,1703220149.6055436,1703220149.7574213,,1703220149.9378064
,1703220149.6494749,1703220149.801443,,1703220149.9814644
,1703220149.671292,1703220149.8014607,,1703220150.0355196
,1703220149.7134733,1703220149.8454654,,1703220150.0779579
,1703220149.7574127,1703220149.8647606,,1703220150.1349823
,1703220149.8014574,1703220149.905732,,1703220150.1774411
,1703220149.8014612,1703220149.9494627,,1703220150.2348099
